phon,cgram,freqfilms2,freqlivres,p_cvcv,syll
5desiz,ADJ,0.35,3.58,VCVCVC,5-de-siz
@tipap,NOM,0.11,0.07,VCVCVC,@-ti-pap
Olivin,NOM,0.05,0,VCVCVC,O-li-vin
5teR6p,VeR,0.03,0,VCVCVC,5-te-R6p
@Zelik,ADJ,0.41,3.85,VCVCVC,@-Ze-lik
omonim,NOM,0.21,0.47,VCVCVC,o-mo-nim
aR@ZeR,VeR,0.01,0.34,VCVCVC,a-R@-ZeR
atak@t,NOM,0.01,0,VCVCVC,a-ta-k@t
abutis,VeR,0.08,0.41,VCVCVC,a-bu-tis
aRaSaZ,NOM,0.1,0.27,VCVCVC,a-Ra-SaZ
@paket,VeR,0,0.07,VCVCVC,@-pa-ket
analOg,ADJ,0.16,2.16,VCVCVC,a-na-lOg
emuseR,VeR,0,0.07,VCVCVC,e-mu-seR
aRabik,ADJ,0.05,0.27,VCVCVC,a-Ra-bik
@tivOl,NOM,0.3,0.14,VCVCVC,@-ti-vOl
adezif,ADJ,0.73,0.47,VCVCVC,a-de-zif
eRetik,NOM,2.08,2.77,VCVCVC,e-Re-tik
5sipid,ADJ,0.34,1.22,VCVCVC,5-si-pid
iNOReR,VeR,0,0.2,VCVCVC,i-NO-ReR
otoman,NOM,0.01,0.27,VCVCVC,o-to-man
adezif,NOM,0.7,0.14,VCVCVC,a-de-zif
@teRit,NOM,0.01,0.14,VCVCVC,@-te-Rit
ekuleR,VeR,0.04,1.89,VCVCVC,e-ku-leR
inov@t,ADJ,0.03,0,VCVCVC,i-no-v@t
5des@s,NOM,0,0.2,VCVCVC,5-de-s@s
@tonim,NOM,0,0.07,VCVCVC,@-to-nim
ilisit,ADJ,0.44,0.74,VCVCVC,i-li-sit
epitOZ,NOM,0,0.14,VCVCVC,e-pi-tOZ
opinel,NOM,0,1.15,VCVCVC,o-pi-nel
adenin,NOM,0.01,0,VCVCVC,a-de-nin
alym9R,NOM,0.32,0.14,VCVCVC,a-ly-m9R
eRotik,ADJ,3.04,5.95,VCVCVC,e-Ro-tik
@dos9R,NOM,0,0.07,VCVCVC,@-do-s9R
yteRys,NOM,2.88,0.68,VCVCVC,y-te-Rys
@seReR,VeR,0,0.07,VCVCVC,@-se-ReR
5pydik,ADJ,0.03,0.81,VCVCVC,5-py-dik
evazif,ADJ,0.35,3.31,VCVCVC,e-va-zif
ytiliz,VeR,3.8,0.2,VCVCVC,y-ti-liz
yzaZeR,NOM,0,0.07,VCVCVC,y-za-ZeR
etiket,VeR,0.01,0,VCVCVC,e-ti-ket
5diZen,NOM,2.85,4.19,VCVCVC,5-di-Zen
at*n@t,ADJ,0.09,1.35,VCVCVC,a-t*-n@t
aRiveR,VeR,1.36,12.57,VCVCVC,a-Ri-veR
@ledis,VeR,0.14,0,VCVCVC,@-le-dis
aval9R,NOM,0.03,0.2,VCVCVC,a-va-l9R
apet@s,NOM,0,0.07,VCVCVC,a-pe-t@s
imin@t,ADJ,0.17,0.41,VCVCVC,i-mi-n@t
@toneR,VeR,0,0.27,VCVCVC,@-to-neR
inos@t,NOM,3.3,2.64,VCVCVC,i-no-s@t
at*n@t,ADJ,0.26,0.14,VCVCVC,a-t*-n@t
eton@t,ADJ,2.95,10.47,VCVCVC,e-to-n@t
epifil,NOM,0,0.07,VCVCVC,e-pi-fil
5sid@s,NOM,0.14,0.54,VCVCVC,5-si-d@s
epitet,NOM,0.12,0.88,VCVCVC,e-pi-tet
alet@t,ADJ,0.01,0,VCVCVC,a-le-t@t
ekym9R,NOM,0.27,0.2,VCVCVC,e-ky-m9R
akymen,NOM,0,0.07,VCVCVC,a-ky-men
ab@dOn,VeR,4.13,0.14,VCVCVC,a-b@-dOn
evadeR,VeR,0.17,0.07,VCVCVC,e-va-deR
omolOg,ADJ,0.01,0,VCVCVC,o-mo-lOg
amikal,ADJ,4.26,11.22,VCVCVC,a-mi-kal
epuset,VeR,0.01,0.07,VCVCVC,e-pu-set
amikal,NOM,0,0.07,VCVCVC,a-mi-kal
5sid@t,ADJ,0,0.14,VCVCVC,5-si-d@t
iNoR@t,ADJ,0.15,0.41,VCVCVC,i-No-R@t
am*sOn,VeR,0,0.07,VCVCVC,a-m*-sOn
ebuRif,VeR,0,0.2,VCVCVC,e-bu-Rif
im6dis,NOM,0.02,0.14,VCVCVC,i-m6-dis
6dyl2z,ADJ,0,0.34,VCVCVC,6-dy-l2z
koRoneR,ADJ,0.25,0.14,CVCVCVC,ko-Ro-neR
maNityd,NOM,0.25,0,CVCVCVC,ma-Ni-tyd
vatisin,VeR,0,0.07,CVCVCVC,va-ti-sin
katolik,NOM,2.71,8.04,CVCVCVC,ka-to-lik
Rek6p@s,NOM,1.27,1.42,CVCVCVC,Re-k6-p@s
R*l*v9R,ADJ,0,0.07,CVCVCVC,R*-l*-v9R
fenomen,NOM,8.62,10.81,CVCVCVC,fe-no-men
soloNOt,ADJ,0,0.07,CVCVCVC,so-lo-NOt
m5t*n@s,NOM,3.89,0.14,CVCVCVC,m5-t*-n@s
k@paNOl,NOM,0.03,0.27,CVCVCVC,k@-pa-NOl
deR@Z@t,ADJ,0.14,0.41,CVCVCVC,de-R@-Z@t
toRasik,ADJ,1.89,1.42,CVCVCVC,to-Ra-sik
R*t@tiR,VeR,0.27,3.58,CVCVCVC,R*-t@-tiR
RiSisim,NOM,0.25,0.14,CVCVCVC,Ri-Si-sim
Rigol9R,ADJ,0,0.07,CVCVCVC,Ri-go-l9R
mam*luk,NOM,0,0.81,CVCVCVC,ma-m*-luk
R*konys,VeR,0,0.07,CVCVCVC,R*-ko-nys
dekupaZ,NOM,0.4,0.34,CVCVCVC,de-ku-paZ
giNolad,NOM,0,0.14,CVCVCVC,gi-No-lad
defil@t,ADJ,0,0.07,CVCVCVC,de-fi-l@t
v*nim2z,ADJ,0.32,0.34,CVCVCVC,v*-ni-m2z
limon2z,ADJ,0.01,0.27,CVCVCVC,li-mo-n2z
temeReR,ADJ,0.34,0.54,CVCVCVC,te-me-ReR
ZiR@dOl,NOM,0,0.68,CVCVCVC,Zi-R@-dOl
meRinos,NOM,0.01,0.27,CVCVCVC,me-Ri-nos
dolomit,NOM,0.08,0,CVCVCVC,do-lo-mit
ZyRasik,ADJ,0.01,0,CVCVCVC,Zy-Ra-sik
def@d9R,NOM,0.43,0,CVCVCVC,de-f@-d9R
famelik,ADJ,0.17,1.15,CVCVCVC,fa-me-lik
s5bolik,ADJ,0.12,1.62,CVCVCVC,s5-bo-lik
malabil,ADJ,0.13,2.23,CVCVCVC,ma-la-bil
semafOR,NOM,0.03,0.41,CVCVCVC,se-ma-fOR
R*des@d,VeR,0.12,0,CVCVCVC,R*-de-s@d
k6pyt9R,NOM,0.01,0.07,CVCVCVC,k6-py-t9R
R*butOn,VeR,0.06,0.2,CVCVCVC,R*-bu-tOn
savuR2z,ADJ,0.11,0.68,CVCVCVC,sa-vu-R2z
kam*lOt,NOM,0,0.34,CVCVCVC,ka-m*-lOt
dekylOt,VeR,0.15,0.27,CVCVCVC,de-ky-lOt
benis9R,ADJ,0,0.34,CVCVCVC,be-ni-s9R
R*m6teR,VeR,0.01,3.85,CVCVCVC,R*-m6-teR
S@d*l9R,NOM,0.52,0.47,CVCVCVC,S@-d*-l9R
Zenosid,NOM,1.18,0.81,CVCVCVC,Ze-no-sid
gomenOl,NOM,0,0.07,CVCVCVC,go-me-nOl
seminom,NOM,0.01,0,CVCVCVC,se-mi-nom
kalomel,NOM,0.01,0.2,CVCVCVC,ka-lo-mel
Zakas9R,NOM,0,0.07,CVCVCVC,Za-ka-s9R
dedikas,VeR,0.54,0.07,CVCVCVC,de-di-kas
sigaRet,NOM,26.35,37.36,CVCVCVC,si-ga-Ret
pasifik,ADJ,1.1,1.15,CVCVCVC,pa-si-fik
kapityl,VeR,0.28,0.14,CVCVCVC,ka-pi-tyl
veZetal,ADJ,0.03,0.95,CVCVCVC,ve-Ze-tal
maladiv,ADJ,0.53,2.84,CVCVCVC,ma-la-div
bikolOR,ADJ,0.14,0.2,CVCVCVC,bi-ko-lOR
p*tites,NOM,0.01,0.34,CVCVCVC,p*-ti-tes
n2Rinom,NOM,0.01,0,CVCVCVC,n2-Ri-nom
metafOR,NOM,4.04,1.89,CVCVCVC,me-ta-fOR
fetiS9R,NOM,0,0.2,CVCVCVC,fe-ti-S9R
Remulad,NOM,0.02,0.2,CVCVCVC,Re-mu-lad
zelat9R,NOM,0,0.34,CVCVCVC,ze-la-t9R
labiR5t,NOM,4.9,7.03,CVCVCVC,la-bi-R5t
papilom,NOM,0.01,0.14,CVCVCVC,pa-pi-lom
Sof*Ret,NOM,0,0.14,CVCVCVC,So-f*-Ret
ped*nOn,NOM,0,0.41,CVCVCVC,pe-d*-nOn
balotin,NOM,0,0.07,CVCVCVC,ba-lo-tin
filoSaR,NOM,0.05,0.2,CVCVCVC,fi-lo-SaR
belik2z,ADJ,0.06,0.81,CVCVCVC,be-li-k2z
def@siv,ADJ,0.57,0.27,CVCVCVC,de-f@-siv
ZiR6din,ADJ,0,0.07,CVCVCVC,Zi-R6-din
babifut,NOM,0.55,0.74,CVCVCVC,ba-bi-fut
liteReR,NOM,0.15,0.41,CVCVCVC,li-te-ReR
m@ganez,NOM,0.23,0.07,CVCVCVC,m@-ga-nez
fatig@t,ADJ,0.31,0.27,CVCVCVC,fa-ti-g@t
nymeROt,VeR,0.01,0.07,CVCVCVC,ny-me-ROt
R*laSeR,VeR,0.01,0.54,CVCVCVC,R*-la-SeR
kumaRin,NOM,0.01,0,CVCVCVC,ku-ma-Rin
nuRityR,NOM,44.59,25.74,CVCVCVC,nu-Ri-tyR
gazodyk,NOM,0.22,0,CVCVCVC,ga-zo-dyk
S*valin,ADJ,0.14,1.01,CVCVCVC,S*-va-lin
viseRal,ADJ,0.01,0.07,CVCVCVC,vi-se-Ral
Rotativ,NOM,0.07,0.95,CVCVCVC,Ro-ta-tiv
komynal,ADJ,0.03,0.41,CVCVCVC,ko-my-nal
R*fyzeR,VeR,0.05,1.76,CVCVCVC,R*-fy-zeR
RetoRik,NOM,0.01,0,CVCVCVC,Re-to-Rik
paRabOl,NOM,1.78,1.96,CVCVCVC,pa-Ra-bOl
taboRit,NOM,0,0.07,CVCVCVC,ta-bo-Rit
R*p@t@t,ADJ,0.02,0.41,CVCVCVC,R*-p@-t@t
p*lot9R,NOM,0.01,0.14,CVCVCVC,p*-lo-t9R
t@poRal,ADJ,0.01,0.14,CVCVCVC,t@-po-Ral
benefik,ADJ,0.18,0.41,CVCVCVC,be-ne-fik
bal@sin,NOM,0,0.07,CVCVCVC,ba-l@-sin
paR@tel,NOM,0.11,0.27,CVCVCVC,pa-R@-tel
batop6p,NOM,0,0.07,CVCVCVC,ba-to-p6p
Rakol9R,ADJ,0.15,0.2,CVCVCVC,Ra-ko-l9R
Reman@t,ADJ,0,0.14,CVCVCVC,Re-ma-n@t
dek@t9R,NOM,0.01,0,CVCVCVC,de-k@-t9R
k6t5Z@s,NOM,0.06,0.27,CVCVCVC,k6-t5-Z@s
tafanaR,NOM,0,0.2,CVCVCVC,ta-fa-naR
sedyleR,ADJ,0,0.14,CVCVCVC,se-dy-leR
galeZad,NOM,0.28,0.34,CVCVCVC,ga-le-Zad
kamizaR,NOM,0,0.07,CVCVCVC,ka-mi-zaR
milit@t,ADJ,0.19,1.22,CVCVCVC,mi-li-t@t
kokilis,NOM,0,0.07,CVCVCVC,ko-ki-lis
linotip,NOM,0,0.27,CVCVCVC,li-no-tip
demaReR,VeR,0,0.27,CVCVCVC,de-ma-ReR
koRanik,ADJ,0.16,0.2,CVCVCVC,ko-Ra-nik
RikeRak,ADV,0,0.61,CVCVCVC,Ri-ke-Rak
difeR@t,ADJ,23.25,23.65,CVCVCVC,di-fe-R@t
mysilaZ,NOM,0.01,0,CVCVCVC,my-si-laZ
ReziNeR,VeR,0,0.14,CVCVCVC,Re-zi-NeR
degeneR,VeR,0,0.07,CVCVCVC,de-ge-neR
SaRolez,NOM,0,0.07,CVCVCVC,Sa-Ro-lez
RuZis@t,ADJ,0.02,0.14,CVCVCVC,Ru-Zi-s@t
kybital,ADJ,0.01,0,CVCVCVC,ky-bi-tal
diliZ@s,NOM,3.25,2.36,CVCVCVC,di-li-Z@s
botanik,ADJ,0.17,0.27,CVCVCVC,bo-ta-nik
koRonal,ADJ,0.04,0,CVCVCVC,ko-Ro-nal
koRidOR,NOM,1.51,9.86,CVCVCVC,ko-Ri-dOR
d2mipaZ,NOM,0.05,0.41,CVCVCVC,d2-mi-paZ
Resital,NOM,0.08,0.61,CVCVCVC,Re-si-tal
n2Ronal,ADJ,0.14,0,CVCVCVC,n2-Ro-nal
R*pas2z,NOM,0,0.2,CVCVCVC,R*-pa-s2z
R*negat,NOM,0.15,0.14,CVCVCVC,R*-ne-gat
R*kuveR,ADJ,0.31,0.68,CVCVCVC,R*-ku-veR
sinonim,ADJ,0.84,1.08,CVCVCVC,si-no-nim
dekupyR,NOM,0,0.68,CVCVCVC,de-ku-pyR
seminOl,ADJ,0,0.07,CVCVCVC,se-mi-nOl
R*vigOR,VeR,0,0.07,CVCVCVC,R*-vi-gOR
demyniR,VeR,0.01,0.14,CVCVCVC,de-my-niR
Rezon@s,NOM,0.69,3.72,CVCVCVC,Re-zo-n@s
SaR@tez,ADJ,0,0.07,CVCVCVC,Sa-R@-tez
ZemeleR,ADJ,0,0.34,CVCVCVC,Ze-me-leR
ZeneRik,ADJ,0.37,0.34,CVCVCVC,Ze-ne-Rik
finityd,NOM,0,0.2,CVCVCVC,fi-ni-tyd
defisel,VeR,0,0.07,CVCVCVC,de-fi-sel
Reman@s,NOM,0.01,0.2,CVCVCVC,Re-ma-n@s
miNonet,ADJ,0.1,0,CVCVCVC,mi-No-net
koS*maR,NOM,10.14,6.96,CVCVCVC,ko-S*-maR
ZelinOt,NOM,0,0.07,CVCVCVC,Ze-li-nOt
mal2R2z,ADJ,12.48,16.08,CVCVCVC,ma-l2-R2z
k6bat@t,ADJ,0.06,12.91,CVCVCVC,k6-ba-t@t
monogam,NOM,0,0.07,CVCVCVC,mo-no-gam
deteR9R,NOM,0.04,0,CVCVCVC,de-te-R9R
RabaSaZ,NOM,0,0.14,CVCVCVC,Ra-ba-SaZ
m@telyR,NOM,0,0.07,CVCVCVC,m@-te-lyR
fasin@t,ADJ,2.47,1.42,CVCVCVC,fa-si-n@t
vinilik,ADJ,0,0.07,CVCVCVC,vi-ni-lik
telefOn,VeR,2.07,0.68,CVCVCVC,te-le-fOn
RekypeR,VeR,1.28,0.2,CVCVCVC,Re-ky-peR
meloman,NOM,0.27,0.27,CVCVCVC,me-lo-man
R*likeR,NOM,0.28,0.68,CVCVCVC,R*-li-keR
Ridikyl,NOM,7.96,10.07,CVCVCVC,Ri-di-kyl
m@daRin,NOM,0.6,2.09,CVCVCVC,m@-da-Rin
deliRas,VeR,0,0.07,CVCVCVC,de-li-Ras
favoRiz,VeR,0.51,0.61,CVCVCVC,fa-vo-Riz
paR@tez,NOM,1,5.47,CVCVCVC,pa-R@-tez
miniZyp,NOM,0.06,0.2,CVCVCVC,mi-ni-Zyp
bag*nod,NOM,0,0.27,CVCVCVC,ba-g*-nod
myRis@t,ADJ,0.01,0.14,CVCVCVC,my-Ri-s@t
debitaZ,NOM,0,0.07,CVCVCVC,de-bi-taZ
p@danys,NOM,0,0.14,CVCVCVC,p@-da-nys
k6batif,ADJ,0.78,0.54,CVCVCVC,k6-ba-tif
manipyl,VeR,2.02,0.54,CVCVCVC,ma-ni-pyl
difeR@s,NOM,51.47,38.65,CVCVCVC,di-fe-R@s
monopOd,ADJ,0.01,0,CVCVCVC,mo-no-pOd
kapitOl,NOM,0.1,0.07,CVCVCVC,ka-pi-tOl
megatOn,NOM,0.35,0.14,CVCVCVC,me-ga-tOn
deR@Zas,VeR,0,0.07,CVCVCVC,de-R@-Zas
RabotaZ,NOM,0,0.14,CVCVCVC,Ra-bo-taZ
deleseR,VeR,0,0.14,CVCVCVC,de-le-seR
kolosal,ADJ,0.02,1.42,CVCVCVC,ko-lo-sal
sinefil,NOM,0.15,0.07,CVCVCVC,si-ne-fil
favoRiz,VeR,1.4,1.22,CVCVCVC,fa-vo-Riz
bigofOn,VeR,0.01,0,CVCVCVC,bi-go-fOn
RalymeR,VeR,0,0.14,CVCVCVC,Ra-ly-meR
veRidik,ADJ,0.16,0.54,CVCVCVC,ve-Ri-dik
degaZeR,VeR,0.03,0.27,CVCVCVC,de-ga-ZeR
negativ,ADJ,2.23,0.68,CVCVCVC,ne-ga-tiv
k6pozeR,VeR,0,0.14,CVCVCVC,k6-po-zeR
paRaSyt,VeR,0.01,0.14,CVCVCVC,pa-Ra-Syt
Rezon2z,ADJ,0,0.14,CVCVCVC,Re-zo-n2z
deSiket,VeR,0.14,0.27,CVCVCVC,de-Si-ket
sitozin,NOM,0.04,0,CVCVCVC,si-to-zin
posed@t,ADJ,0.21,0.2,CVCVCVC,po-se-d@t
desenal,ADJ,0.01,0.07,CVCVCVC,de-se-nal
nomadiz,VeR,0,0.07,CVCVCVC,no-ma-diz
fyn@byl,NOM,0.52,1.35,CVCVCVC,fy-n@-byl
RakolaZ,NOM,0,0.07,CVCVCVC,Ra-ko-laZ
sakaRin,NOM,0.09,0.54,CVCVCVC,sa-ka-Rin
kolabOR,VeR,0.11,0,CVCVCVC,ko-la-bOR
deSiket,VeR,0.04,0.14,CVCVCVC,de-Si-ket
nymeReR,NOM,0.01,0.27,CVCVCVC,ny-me-ReR
kolosal,ADJ,0.48,2.7,CVCVCVC,ko-lo-sal
lizimak,NOM,0.01,0,CVCVCVC,li-zi-mak
kaR*laZ,NOM,0.01,0.81,CVCVCVC,ka-R*-laZ
bagaR2z,ADJ,0.07,0.07,CVCVCVC,ba-ga-R2z
R6Son9R,NOM,0.02,0.07,CVCVCVC,R6-So-n9R
kamikaz,NOM,0.73,1.01,CVCVCVC,ka-mi-kaz
k6t*niR,VeR,4.81,9.86,CVCVCVC,k6-t*-niR
kamizOl,NOM,0.1,0.34,CVCVCVC,ka-mi-zOl
fyZitiv,ADJ,0.25,3.51,CVCVCVC,fy-Zi-tiv
suv*Ren,ADJ,1.54,5.14,CVCVCVC,su-v*-Ren
SySoteR,VeR,0,0.2,CVCVCVC,Sy-So-teR
degut@t,ADJ,0.01,0.07,CVCVCVC,de-gu-t@t
baRud9R,NOM,0.05,0.34,CVCVCVC,ba-Ru-d9R
lokat9R,NOM,0.01,0,CVCVCVC,lo-ka-t9R
RaRisim,ADJ,0.38,1.35,CVCVCVC,Ra-Ri-sim
s5tetiz,VeR,0.01,0,CVCVCVC,s5-te-tiz
senotaf,NOM,0.01,0.41,CVCVCVC,se-no-taf
nesesit,VeR,2.42,1.08,CVCVCVC,ne-se-sit
malonet,NOM,0.28,0.14,CVCVCVC,ma-lo-net
depov@t,NOM,0.03,0,CVCVCVC,de-po-v@t
siNatyR,NOM,1.92,1.76,CVCVCVC,si-Na-tyR
SipotaZ,NOM,0.02,0.07,CVCVCVC,Si-po-taZ
goSiz@t,ADJ,0,0.07,CVCVCVC,go-Si-z@t
matamOR,NOM,0.14,0.27,CVCVCVC,ma-ta-mOR
magazin,NOM,7.39,9.12,CVCVCVC,ma-ga-zin
pozitif,ADJ,9.69,3.99,CVCVCVC,po-zi-tif
dedeN2z,ADJ,0.01,0.41,CVCVCVC,de-de-N2z
Reviz9R,NOM,0.01,0,CVCVCVC,Re-vi-z9R
pofinaZ,NOM,0.01,0,CVCVCVC,po-fi-naZ
fagotaZ,NOM,0,0.07,CVCVCVC,fa-go-taZ
deSeneR,VeR,0,0.07,CVCVCVC,de-Se-neR
nesesit,VeR,0.4,0.34,CVCVCVC,ne-se-sit
RiSisim,ADJ,0.04,0.34,CVCVCVC,Ri-Si-sim
d*m9ReR,VeR,0,4.12,CVCVCVC,d*-m9-ReR
paRes2z,ADJ,2.08,3.65,CVCVCVC,pa-Re-s2z
depanaZ,NOM,1.17,1.01,CVCVCVC,de-pa-naZ
fofileR,VeR,0,0.2,CVCVCVC,fo-fi-leR
finis2z,NOM,0.01,0,CVCVCVC,fi-ni-s2z
tap*nad,NOM,0.02,0,CVCVCVC,ta-p*-nad
R*peSeR,VeR,0,0.07,CVCVCVC,R*-pe-SeR
tetaniz,VeR,0.01,0.07,CVCVCVC,te-ta-niz
RamoliR,VeR,0.53,0.27,CVCVCVC,Ra-mo-liR
dep*s9R,NOM,0,0.14,CVCVCVC,de-p*-s9R
somatik,ADJ,0.04,0.14,CVCVCVC,so-ma-tik
saniteR,NOM,0.1,0.14,CVCVCVC,sa-ni-teR
d@Z*R2z,ADJ,4.75,4.53,CVCVCVC,d@-Z*-R2z
sineRez,NOM,0,0.07,CVCVCVC,si-ne-Rez
disid@t,NOM,0,0.07,CVCVCVC,di-si-d@t
mineRal,ADJ,0.31,0.74,CVCVCVC,mi-ne-Ral
fonetik,ADJ,0.19,0.27,CVCVCVC,fo-ne-tik
favoRit,ADJ,1.92,3.45,CVCVCVC,fa-vo-Rit
sitadel,NOM,0,0.88,CVCVCVC,si-ta-del
pikadOR,NOM,0.01,0.07,CVCVCVC,pi-ka-dOR
viN*ROn,NOM,0.14,0,CVCVCVC,vi-N*-ROn
katafOt,NOM,0,0.14,CVCVCVC,ka-ta-fOt
v*nim2z,ADJ,0.77,0.74,CVCVCVC,v*-ni-m2z
demaRaZ,NOM,1.17,3.11,CVCVCVC,de-ma-RaZ
solilOk,VeR,0.01,0.34,CVCVCVC,so-li-lOk
v@piRiz,VeR,0.04,0.07,CVCVCVC,v@-pi-Riz
R*konys,VeR,0.01,0.07,CVCVCVC,R*-ko-nys
p2z@t9R,NOM,1.12,6.69,CVCVCVC,p2-z@-t9R
d*m9Ram,VeR,0,0.47,CVCVCVC,d*-m9-Ram
ligatyR,NOM,0.3,0.07,CVCVCVC,li-ga-tyR
SaRoNaR,NOM,0.48,1.62,CVCVCVC,Sa-Ro-NaR
vokalik,ADJ,0,0.07,CVCVCVC,vo-ka-lik
k6fiz2z,NOM,0.01,0,CVCVCVC,k6-fi-z2z
dinamik,ADJ,1.97,1.69,CVCVCVC,di-na-mik
d2vin9R,NOM,0.01,0,CVCVCVC,d2-vi-n9R
viRolOg,NOM,0.13,0,CVCVCVC,vi-Ro-lOg
saZital,ADJ,0.04,0,CVCVCVC,sa-Zi-tal
RamaseR,VeR,0.01,1.35,CVCVCVC,Ra-ma-seR
kolosal,ADJ,0.81,4.46,CVCVCVC,ko-lo-sal
Rek6p@s,VeR,0.16,0.07,CVCVCVC,Re-k6-p@s
n5foman,ADJ,0.03,0.14,CVCVCVC,n5-fo-man
ZiR6din,ADJ,0,0.07,CVCVCVC,Zi-R6-din
fis*leR,VeR,0,0.07,CVCVCVC,fi-s*-leR
f@faROn,NOM,0,0.07,CVCVCVC,f@-fa-ROn
pozitiv,ADJ,4.63,2.57,CVCVCVC,po-zi-tiv
kapityl,NOM,0.05,0,CVCVCVC,ka-pi-tyl
faRibOl,NOM,0,0.27,CVCVCVC,fa-Ri-bOl
sek@s9R,NOM,0.11,0,CVCVCVC,se-k@-s9R
d*mim6d,NOM,0.01,0.14,CVCVCVC,d*-mi-m6d
kopin9R,ADJ,0,0.07,CVCVCVC,ko-pi-n9R
kanibal,ADJ,0.58,0.27,CVCVCVC,ka-ni-bal
neseseR,NOM,0.07,0.34,CVCVCVC,ne-se-seR
manig@s,VeR,0.92,0.34,CVCVCVC,ma-ni-g@s
pasifik,ADJ,2.9,3.11,CVCVCVC,pa-si-fik
tybyl2z,ADJ,0,0.07,CVCVCVC,ty-by-l2z
nebyl2z,NOM,0.02,0,CVCVCVC,ne-by-l2z
luSebem,NOM,0,0.07,CVCVCVC,lu-Se-bem
politik,NOM,34.84,65.88,CVCVCVC,po-li-tik
RakolaZ,NOM,0.57,0.54,CVCVCVC,Ra-ko-laZ
libanez,ADJ,0.01,0.81,CVCVCVC,li-ba-nez
feminin,ADJ,0.98,3.92,CVCVCVC,fe-mi-nin
koleR2z,ADJ,0.32,0.54,CVCVCVC,ko-le-R2z
dekad@t,NOM,0.03,0,CVCVCVC,de-ka-d@t
kulipus,NOM,0.01,0,CVCVCVC,ku-li-pus
libelyl,NOM,1.07,2.16,CVCVCVC,li-be-lyl
badabum,ONO,0.12,0.74,CVCVCVC,ba-da-bum
l@sin@t,ADJ,0.01,0.95,CVCVCVC,l@-si-n@t
Rymin@t,ADJ,0.01,0.07,CVCVCVC,Ry-mi-n@t
pivoteR,VeR,0,0.14,CVCVCVC,pi-vo-teR
k6bativ,ADJ,0.07,0.81,CVCVCVC,k6-ba-tiv
padok9R,VeR,0,0.07,CVCVCVC,pa-do-k9R
Rakol2z,NOM,0.05,0,CVCVCVC,Ra-ko-l2z
malofaZ,NOM,0,0.07,CVCVCVC,ma-lo-faZ
RaZ9nis,VeR,0.03,0.14,CVCVCVC,Ra-Z9-nis
zenital,ADJ,0,0.07,CVCVCVC,ze-ni-tal
puRis@t,ADJ,0.04,0.47,CVCVCVC,pu-Ri-s@t
duluR2z,ADJ,1.23,3.24,CVCVCVC,du-lu-R2z
d*m@d9R,NOM,0.54,0.2,CVCVCVC,d*-m@-d9R
sezis@t,ADJ,0.04,0.2,CVCVCVC,se-zi-s@t
b5Zamin,NOM,0.44,0.27,CVCVCVC,b5-Za-min
dem6taZ,NOM,0,0.07,CVCVCVC,de-m6-taZ
Radikyl,NOM,0,0.07,CVCVCVC,Ra-di-kyl
dekuleR,VeR,0.01,0,CVCVCVC,de-ku-leR
Rakol9R,NOM,0.03,0.07,CVCVCVC,Ra-ko-l9R
pedikyR,NOM,0.05,0.07,CVCVCVC,pe-di-kyR
R*model,VeR,0,0.14,CVCVCVC,R*-mo-del
maRiZan,NOM,0.26,0.07,CVCVCVC,ma-Ri-Zan
sikof@t,NOM,0,0.07,CVCVCVC,si-ko-f@t
Rikan@t,ADJ,0,0.54,CVCVCVC,Ri-ka-n@t
limineR,ADJ,0.07,0,CVCVCVC,li-mi-neR
paRen2z,NOM,0,0.07,CVCVCVC,pa-Re-n2z
RaS*teR,VeR,0,0.07,CVCVCVC,Ra-S*-teR
definis,VeR,0.08,0.07,CVCVCVC,de-fi-nis
satelit,NOM,2.79,1.15,CVCVCVC,sa-te-lit
dilet@t,ADJ,0.02,0.14,CVCVCVC,di-le-t@t
n6fym9R,NOM,0.14,0,CVCVCVC,n6-fy-m9R
katodik,ADJ,0.01,0.14,CVCVCVC,ka-to-dik
kones2z,NOM,0.04,0.68,CVCVCVC,ko-ne-s2z
k6pozit,NOM,0.04,0,CVCVCVC,k6-po-zit
p*lyS2z,ADJ,0.03,0.54,CVCVCVC,p*-ly-S2z
supiReR,VeR,0,0.2,CVCVCVC,su-pi-ReR
vaZinal,ADJ,0.38,0.07,CVCVCVC,va-Zi-nal
sabot2z,NOM,0.01,0,CVCVCVC,sa-bo-t2z
vaz*lin,NOM,0.94,1.28,CVCVCVC,va-z*-lin
gabonez,ADJ,0,0.07,CVCVCVC,ga-bo-nez
sekotin,NOM,0,0.34,CVCVCVC,se-ko-tin
R*kom@s,VeR,1.72,2.36,CVCVCVC,R*-ko-m@s
kabotin,ADJ,0,0.14,CVCVCVC,ka-bo-tin
faRin2z,ADJ,0.03,0.14,CVCVCVC,fa-Ri-n2z
bal@saZ,NOM,0,0.14,CVCVCVC,ba-l@-saZ
puRis@t,ADJ,0.14,0.34,CVCVCVC,pu-Ri-s@t
palisad,NOM,0.05,2.23,CVCVCVC,pa-li-sad
teRatom,NOM,0.05,0,CVCVCVC,te-Ra-tom
Rabat2z,NOM,0.01,0,CVCVCVC,Ra-ba-t2z
kak*taZ,NOM,0.04,0.74,CVCVCVC,ka-k*-taZ
mad*len,NOM,0.37,0.95,CVCVCVC,ma-d*-len
